id,name,classification,size,special_notes,habitat_hokkaido,habitat_honshu,habitat_shikoku,habitat_kyushu,habitat_islands,type,season,rarity,description,photo_url,observed_date,observed_location,学名,sub-sp
127,ナキイスカ,スズメ目 アトリ科 イスカ属,15cm,,1,1,1,1,0,その他,冬鳥,4,,,,,Loxia leucoptera,
128,ウソ,スズメ目 アトリ科 ウソ属,16cm,,1,1,1,1,1,その他,冬鳥,1,,,,,Pyrrhula pyrrhula,
129,オオマシコ,スズメ目 アトリ科 オオマシコ属,17cm,,1,1,1,1,0,その他,冬鳥,3,,,,,Carpodacus roseus,
130,オガサワラマシコ,スズメ目 アトリ科 オガサワラマシコ属,19cm,IUCN(EX),0,0,0,0,1,その他,留鳥,5,,,,,Chaunoproctus ferreorostris,
131,オガサワラカワラヒワ,スズメ目 アトリ科 カワラヒワ属,14cm,希少野生動植物種;IUCN(CR),0,0,0,0,1,その他,留鳥,5,,,,,Chloris sinica kittlitzi ,
132,カワラヒワ,スズメ目 アトリ科 カワラヒワ属,14.5cm,,1,1,1,1,1,その他,留鳥,1,,,,,Chloris sinica,
133,ギンザンマシコ,スズメ目 アトリ科 ギンザンマシコ属,20cm,,1,1,0,0,0,その他,留鳥,4,,,,,Pinicola enucleator,
134,ゴシキヒワ,スズメ目 アトリ科 ゴシキヒワ属,12cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Carduelis carduelis,
135,シメ,スズメ目 アトリ科 シメ属,18cm,,1,1,1,1,0,その他,冬鳥,2,,,,,Coccothraustes coccothraustes,
136,ハギマシコ,スズメ目 アトリ科 ハギマシコ属,16cm,,1,1,1,1,0,その他,冬鳥,2,,,,,Leucosticte arctoa,
137,マヒワ,スズメ目 アトリ科 ヒワ属,12.5cm,,1,1,1,1,1,その他,冬鳥,2,,,,,Carduelis spinus,
138,ベニマシコ,スズメ目 アトリ科 ベニマシコ属,15cm,,1,1,1,1,0,その他,冬鳥,1,,,,,Uragus sibiricus,
139,コベニヒワ,スズメ目 アトリ科 マヒワ属,12cm,,1,1,1,1,1,その他,冬鳥,3,,,,,Carduelis hornemanni,
140,ベニヒワ,スズメ目 アトリ科 マヒワ属,13cm,,1,1,1,1,1,その他,冬鳥,2,,,,,Carduelis flammea,
141,サバンナシトド,スズメ目 ホオジロ科,14cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Passerculus sandwichensis,
142,チャキンチョウ,スズメ目 ホオジロ科,16cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Emberiza bruniceps,
143,ミヤマシトド,スズメ目 ホオジロ科,15cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Zonotrichia leucophrys,
144,ユキヒメドリ,スズメ目 アメリカスズメ科 ユキヒメドリ属,15cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Junco hyemalis,
145,ウィルソンアメリカムシクイ,スズメ目 アメリカムシクイ科,12cm,,0,0,0,0,0,ムシクイ,迷鳥,5,,,,,Cardellina pusilla,
146,キヅタアメリカムシクイ,スズメ目 アメリカムシクイ科,14cm,,0,0,0,0,0,ムシクイ,迷鳥,5,,,,,Setophaga coronata,
147,イワヒバリ,スズメ目 イワヒバリ科 イワヒバリ属,18cm,,0,1,0,0,0,その他,留鳥,3,,,,,Prunella collaris,
148,ヤマヒバリ,スズメ目 イワヒバリ科 イワヒバリ属,17cm,,1,1,1,1,1,その他,冬鳥,3,,,,,Prunella montanella,
149,カヤクグリ,スズメ目 イワヒバリ科 カヤクグリ属,14cm,,1,1,1,1,0,その他,留鳥,2,,,,,Prunella rubida,
150,ニシマキバドリ,スズメ目 イワヒバリ科 マキバドリ属,15cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Sturnella neglecta,
151,ムネアカマキバドリ,スズメ目 イワヒバリ科 マキバドリ属,15cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Leistes militaris,
152,ウグイス,スズメ目 ウグイス科 ウグイス属,15.5cm,,1,1,1,1,1,ムシクイ,留鳥,1,,,,,Cettia diphone,
153,ヤブサメ,スズメ目 ウグイス科 ヤブサメ属,10.5cm,,1,1,1,1,1,ムシクイ,夏鳥,1,,,,,Urosphena squameiceps,
154,オオヨシキリ,スズメ目 ヨシキリ科,18.5cm,,1,1,1,1,0,ムシクイ,夏鳥,1,,,,,Acrocephalus orientalis,
155,エナガ ,スズメ目 エナガ科 エナガ属,14cm,,0,1,0,0,0,カラ類,留鳥,1,,,,,Aegithalos caudatus,
156,マミハウチワドリ,スズメ目 オウギビタキ科 オウギビタキ属,17cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Rhipidura rufifrons,
157,カンムリオウチュウ,スズメ目 オウチュウ科,37cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Dicrurus hottentottus,
158,ハイイロオウチュウ,スズメ目 オウチュウ科,24-29cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Dicrurus leucophaeus,
159,オウチュウ,スズメ目 オウチュウ科 オウチュウ属,29cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Dicrurus macrocercus,
160,クロエリヒタキ,スズメ目 カササギヒタキ科,15-17.5cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Hypothymis azurea,
161,カササギヒタキ,スズメ目 カササギヒタキ科 カササギヒタキ属,20cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Terpsiphone paradisi,
162,コクマルガラス,スズメ目 カラス科,33cm,,1,1,1,1,1,カラス類,冬鳥,3,,,,,Corvus dauuricus,
163,ニシコクマルガラス,スズメ目 カラス科,33cm,,0,0,0,0,0,カラス類,迷鳥,5,,,,,Corvus monedula,
164,ルリカケス,スズメ目 カラス科,38cm,天然記念物 絶滅危惧IA類(CR) (奄美大島固有種),0,0,0,0,1,カラス類,留鳥,4,,,,,Garrulus lidthi,
165,オオルリチョウ,スズメ目 カラス科 オオルリチョウ属,32cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Myophonus caeruleus,
166,オナガ,スズメ目 カラス科 オナガ属,37cm,,0,1,0,0,0,カラス類,留鳥,2,,,,,Cyanopica cyanus,
167,カケス,スズメ目 カラス科 カケス属,33cm,,1,1,1,1,1,カラス類,留鳥,1,,,,,Garrulus glandarius,
168,カササギ,スズメ目 カラス科 カササギ属,45cm,天然記念物,1,1,1,1,0,カラス類,留鳥,2,,,,,Pica pica,
169,ハシブトガラス,スズメ目 カラス科 カラス属,56.5cm,,1,1,1,1,1,カラス類,留鳥,1,,,,,Corvus macrorhynchos,
170,ハシボソガラス,スズメ目 カラス科 カラス属,50cm,,1,1,1,1,1,カラス類,留鳥,1,,,,,Corvus corone,
171,ミヤマガラス,スズメ目 カラス科 カラス属,47cm,,1,1,1,1,0,カラス類,冬鳥,2,,,,,Corvus frugilegus,
172,ワタリガラス,スズメ目 カラス科 カラス属,63cm,,1,1,0,0,0,カラス類,冬鳥,3,,,,,Corvus corax,
173,ホシガラス,スズメ目 カラス科 ホシガラス属,35cm,,1,1,1,1,0,カラス類,留鳥,2,,,,,Nucifraga caryocatactes,
174,カワガラス,スズメ目 カワガラス科 カワガラス属,22cm,,1,1,1,1,1,その他,留鳥,1,,,,,Cinclus pallasii,
175,キクイタダキ,スズメ目 キクイタダキ科 キクイタダキ属,10cm,,1,1,1,1,0,その他,留鳥,2,,,,,Regulus regulus,
176,マミジロキクイタダキ,スズメ目 キクイタダキ科 キクイタダキ属,10cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Regulus ignicapilla,
177,キバシリ,スズメ目 キバシリ科 キバシリ属,13.5cm,,1,1,1,1,0,キツツキ,留鳥,2,,,,,Certhia familiaris,
