id,name,classification,size,special_notes,habitat_hokkaido,habitat_honshu,habitat_shikoku,habitat_kyushu,habitat_islands,type,season,rarity,description,photo_url,observed_date,observed_location,学名,sub-sp
256,ムナフヒタキ,スズメ目 ヒタキ科,12cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Muscicapa striata,
257,ヤマザキヒタキ,スズメ目 ヒタキ科,14cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Saxicola ferreus,
258,ロクショウヒタキ,スズメ目 ヒタキ科,16cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Eumyias thalassinus,
259,アカヒゲ,スズメ目 ヒタキ科 アカヒゲ属,14cm,天然記念物;IUCN(EN),0,0,0,0,1,ヒタキ,留鳥,4,,,,,Luscinia komadori,
260,オオルリ,スズメ目 ヒタキ科 オオルリ属,16.5cm,,1,1,1,1,0,ヒタキ,夏鳥,1,,,,,Cyanoptila cyanomelana,
261,キビタキ,スズメ目 ヒタキ科 キビタキ属,14cm,,1,1,1,1,0,ヒタキ,夏鳥,1,,,,,Ficedula narcissina,
262,マミジロキビタキ,スズメ目 ヒタキ科 キビタキ属,13.5cm,,1,1,1,1,1,ヒタキ,夏鳥,4,,,,,Ficedula zanthopygia,
263,オガワコマドリ,スズメ目 ヒタキ科 コマドリ属,15cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Luscinia svecica,
264,コマドリ,スズメ目 ヒタキ科 コマドリ属,14cm,,1,1,1,1,1,ヒタキ,夏鳥,2,,,,,Luscinia akahige,
265,コルリ,スズメ目 ヒタキ科 コマドリ属,14cm,,1,1,1,1,0,ヒタキ,夏鳥,3,,,,,Luscinia cyane,
266,ノドジロコマドリ,スズメ目 ヒタキ科 コマドリ属,15cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Irania gutturalis,
267,イナバヒタキ,スズメ目 ヒタキ科 サバクヒタキ属,15cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Oenanthe isabellina,
268,サバクヒタキ,スズメ目 ヒタキ科 サバクヒタキ属,15cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Oenanthe deserti,
269,シロガシラサバクヒタキ,スズメ目 ヒタキ科 サバクヒタキ属,15cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Oenanthe leucopyga,
270,セグロサバクヒタキ,スズメ目 ヒタキ科 サバクヒタキ属,15cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Oenanthe pleschanka,
271,チャガシラサバクヒタキ,スズメ目 ヒタキ科 サバクヒタキ属,15cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Oenanthe pileata,
272,ハシグロヒタキ,スズメ目 ヒタキ科 サバクヒタキ属,15cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Oenanthe oenanthe,
273,エゾビタキ,スズメ目 ヒタキ科 サメビタキ属,15cm,,1,1,1,1,1,ヒタキ,旅鳥,2,,,,,Muscicapa griseisticta,
274,コサメビタキ,スズメ目 ヒタキ科 サメビタキ属,13cm,,1,1,1,1,0,ヒタキ,夏鳥,1,,,,,Muscicapa dauurica,
275,サメビタキ,スズメ目 ヒタキ科 サメビタキ属,14.5cm,,1,1,1,1,0,ヒタキ,夏鳥,2,,,,,Muscicapa sibirica,
276,シキチョウ,スズメ目 ヒタキ科 シキチョウ属,20cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Copsychus saularis,
277,クロジョウビタキ,スズメ目 ヒタキ科 ジョウビタキ属,14cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Phoenicurus ochruros,
278,ジョウビタキ,スズメ目 ヒタキ科 ジョウビタキ属,14cm,,1,1,1,1,1,ヒタキ,冬鳥,1,,,,,Phoenicurus auroreus,
279,シロビタイジョウビタキ,スズメ目 ヒタキ科 ジョウビタキ属,15cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Phoenicurus phoenicurus,
280,セアカジョウビタキ,スズメ目 ヒタキ科 ジョウビタキ属,15cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Phoenicurus erythronotus,
281,ルリビタイジョウビタキ,スズメ目 ヒタキ科 ジョウビタキ属,15cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Phoenicurus frontalis,
282,シマゴマ,スズメ目 ヒタキ科,14cm,,1,1,1,1,1,ヒタキ,旅鳥,4,,,,,Luscinia sibilans,
283,ノゴマ,スズメ目 ヒタキ科 ノゴマ属,15cm,,1,1,1,1,1,ヒタキ,夏鳥,2,,,,,Luscinia calliope,
284,ノビタキ,スズメ目 ヒタキ科 ノビタキ属,13cm,,1,1,1,1,1,ヒタキ,夏鳥,1,,,,,Saxicola torquatus,
285,ムギマキ,スズメ目 ヒタキ科 ヒタキ属,13cm,,1,1,1,1,1,ヒタキ,旅鳥,3,,,,,Ficedula mugimaki,
286,ルリビタキ,スズメ目 ヒタキ科 ヒタキ属,14cm,,1,1,1,1,1,ヒタキ,冬鳥,2,,,,,Tarsiger cyanurus,
287,ヒメイソヒヨ,スズメ目 ヒタキ科 ヒメイソヒヨドリ属,19cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Monticola gularis,
288,ヨーロッパコマドリ,スズメ目 ヒタキ科 ヨーロッパコマドリ属,14cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Erithacus rubecula,
289,クビワコウテンシ,スズメ目 ヒバリ科,17cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Melanocorypha bimaculata,
290,コヒバリ,スズメ目 ヒバリ科,14cm,,1,1,1,1,1,その他,冬鳥,4,,,,,Calandrella cheleensis,
291,ハマヒバリ,スズメ目 ヒバリ科,17cm,,1,1,1,1,1,その他,冬鳥,4,,,,,Eremophila alpestris,
292,モンゴルヒバリ,スズメ目 ヒバリ科 コウテンシ属,15cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Melanocorypha mongolica,
293,ヒバリ,スズメ目 ヒバリ科 ヒバリ属,17cm,,1,1,1,1,1,その他,留鳥,1,,,,,Alauda arvensis,
294,ヒメコウテンシ,スズメ目 ヒバリ科 ヒメコウテンシ属,13cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Calandrella brachydactyla,
295,モリヒバリ,スズメ目 ヒバリ科 モリヒバリ属,18cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Lullula arborea,
296,カヤノボリ,スズメ目 ヒヨドリ科 ,16cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Spizixos semitorques,
297,ヒヨドリ,スズメ目 ヒヨドリ科 ヒヨドリ属,27.5cm,,1,1,1,1,1,その他,留鳥,1,,,,,Hypsipetes amaurotis,
298,ユキホオジロ,スズメ目 ツメナガホオジロ科,17cm,,1,1,1,1,0,その他,冬鳥,3,,,,,Plectrophenax nivalis,
299,イワバホオジロ,スズメ目 ホオジロ科,16cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Emberiza buchanani,
300,ウタスズメ,スズメ目 ホオジロ科,15cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Melospiza melodia,
301,キマユホオジロ,スズメ目 ホオジロ科,15cm,,1,1,1,1,1,その他,冬鳥,3,,,,,Emberiza chrysophrys,
302,クロジ,スズメ目 ホオジロ科,17cm,,1,1,1,1,1,その他,夏鳥/冬鳥,1,,,,,Emberiza variabilis,
303,コジュリン,スズメ目 ホオジロ科,15cm,準絶滅危惧(NT),1,1,0,0,0,その他,夏鳥,3,,,,,Emberiza yessoensis,
304,ゴマフスズメ,スズメ目 ホオジロ科,13cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Passerella iliaca,
305,シロハラホオジロ,スズメ目 ホオジロ科,16cm,,1,1,1,1,1,その他,冬鳥,2,,,,,Emberiza tristrami,
306,ズアオホオジロ,スズメ目 ホオジロ科,17cm,,1,1,1,1,1,その他,冬鳥,4,,,,,Emberiza hortulana,
307,ズグロチャキンチョウ,スズメ目 ホオジロ科,14cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Emberiza melanocephala,
308,ノジコ,スズメ目 ホオジロ科,14cm,絶滅危惧II類(VU),0,1,0,0,0,その他,夏鳥,3,,,,,Emberiza sulphurata,
309,レンジャクノジコ,スズメ目 ホオジロ科,15cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Emberiza lathami,
310,キガシラシトド,スズメ目 ホオジロ科 ウタスズメ属,17cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Zonotrichia atricapilla,
311,アオジ,スズメ目 ホオジロ科 ホオジロ属,16cm,,1,1,1,1,1,その他,夏鳥,1,,,,,Emberiza spodocephala,
312,オオジュリン,スズメ目 ホオジロ科 ホオジロ属,16cm,,1,1,1,1,1,その他,留鳥,2,,,,,Emberiza schoeniclus,
313,カシラダカ,スズメ目 ホオジロ科 ホオジロ属,15cm,IUCN(VU),1,1,1,1,1,その他,冬鳥,1,,,,,Emberiza rustica,
314,キアオジ,スズメ目 ホオジロ科 ホオジロ属,15cm,,1,1,1,1,1,その他,旅鳥,3,,,,,Emberiza citrinella,
315,コホオアカ,スズメ目 ホオジロ科 ホオジロ属,15cm,,1,1,1,1,0,その他,冬鳥,3,,,,,Emberiza pusilla,
316,シベリアアオジ,スズメ目 ホオジロ科 ホオジロ属,15cm,,1,1,1,1,1,その他,冬鳥,4,,,,,Emberiza spodocephala spodocephala ,
317,シベリアジュリン,スズメ目 ホオジロ科 ホオジロ属,14cm,,1,1,1,1,0,その他,冬鳥,4,,,,,Emberiza pallasi,
318,シマアオジ,スズメ目 ホオジロ科 ホオジロ属,15cm,IUCN(CR),1,1,1,1,0,その他,夏鳥,5,,,,,Emberiza aureola,
319,シマノジコ,スズメ目 ホオジロ科 ホオジロ属,14cm,IUCN(EN),1,1,1,1,0,その他,夏鳥,4,,,,,Emberiza rutila,
320,シラガホオジロ,スズメ目 ホオジロ科 ホオジロ属,17cm,,1,1,1,1,1,その他,冬鳥,4,,,,,Emberiza leucocephalos,
321,ホオアカ,スズメ目 ホオジロ科 ホオジロ属,16cm,,1,1,1,1,1,その他,夏鳥,2,,,,,Emberiza fucata,
322,ホオジロ,スズメ目 ホオジロ科 ホオジロ属,16.5cm,,1,1,1,1,1,その他,留鳥,1,,,,,Emberiza cioides,
323,ミヤマホオジロ,スズメ目 ホオジロ科 ホオジロ属,16cm,,1,1,1,1,1,その他,冬鳥,2,,,,,Emberiza elegans,
324,ミソサザイ,スズメ目 ミソサザイ科 ミソサザイ属,11cm,,1,1,1,1,1,その他,留鳥,1,,,,,Troglodytes troglodytes,
325,テリカラスモドキ,スズメ目 ムクドリ科 カラスモドキ属,20cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Aplonis panayensis,
326,カラムクドリ,スズメ目 ムクドリ科 カラムクドリ属,23cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Sturnia sinensis,
327,コムクドリ,スズメ目 ムクドリ科 コムクドリ属,19cm,,1,1,1,1,0,その他,夏鳥,2,,,,,Agropsar philippensis,
328,バライロムクドリ,スズメ目 ムクドリ科 バライロムクドリ属,21cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Pastor roseus,
329,ギンムクドリ,スズメ目 ムクドリ科 ムクドリ属,24cm,,1,1,1,1,0,その他,冬鳥,3,,,,,Spodiopsar sericeus,
330,シベリアムクドリ,スズメ目 ムクドリ科 ムクドリ属,21cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Agropsar sturninus,
331,ホシムクドリ,スズメ目 ムクドリ科 ムクドリ属,21cm,,1,1,1,1,0,その他,冬鳥,3,,,,,Sturnus vulgaris,
332,ムクドリ,スズメ目 ムクドリ科 ムクドリ属,24cm,,1,1,1,1,1,その他,留鳥,1,,,,,Spodiopsar cineraceus,
333,キタヤナギムシクイ,スズメ目 ムシクイ科,11.5cm,,0,0,0,0,0,ムシクイ,迷鳥,5,,,,,Phylloscopus trochilus,
334,キバラムシクイ,スズメ目 ムシクイ科,11cm,,0,0,0,0,0,ムシクイ,迷鳥,5,,,,,Phylloscopus affinis,
335,キマユムシクイ,スズメ目 ムシクイ科,10cm,,1,1,1,1,1,ムシクイ,旅鳥/冬鳥,3,,,,,Phylloscopus inornatus,
336,コムシクイ,スズメ目 ムシクイ科,10cm,,1,1,1,1,1,ムシクイ,旅鳥,4,,,,,Phylloscopus borealis,
337,チフチャフ,スズメ目 ムシクイ科,11cm,,0,0,0,0,0,ムシクイ,迷鳥,5,,,,,Phylloscopus collybita,
338,ムジセッカ,スズメ目 ムシクイ科,10.5cm,,1,1,1,1,1,ムシクイ,旅鳥,4,,,,,Phylloscopus fuscatus,
339,ヤナギムシクイ,スズメ目 ムシクイ科,13cm,,0,0,0,0,0,ムシクイ,迷鳥,5,,,,,Phylloscopus plumbeitarsus,
340,イイジマムシクイ,スズメ目 ムシクイ科 ムシクイ属,11.5cm,IUCN(NT),0,0,0,0,1,ムシクイ,留鳥,3,,,,,Phylloscopus ijimae,
341,バフマユムシクイ,スズメ目 ムシクイ科 ムシクイ属,11cm,,1,1,1,1,1,ムシクイ,旅鳥,4,,,,,Phylloscopus humei,
342,オオムシクイ,スズメ目 ムシクイ科 ムシクイ属,13cm,,1,0,0,0,0,ムシクイ,夏鳥,2,,,,,Phylloscopus examinandus,
343,カラフトムシクイ,スズメ目 ムシクイ科 ムシクイ属,11cm,,1,1,1,1,1,ムシクイ,旅鳥,4,,,,,Phylloscopus proregulus,
344,コノドジロムシクイ,スズメ目 ズグロムシクイ科,13cm,,0,0,0,0,0,ムシクイ,迷鳥,5,,,,,Sylvia curruca,
345,モリムシクイ,スズメ目 ムシクイ科 ムシクイ属,13cm,,0,0,0,0,0,ムシクイ,迷鳥,5,,,,,Phylloscopus sibilatrix,
346,エゾムシクイ,スズメ目 ムシクイ科 メボソムシクイ属,12.5cm,,1,0,0,0,0,ムシクイ,夏鳥,3,,,,,Phylloscopus borealoides,
347,センダイムシクイ,スズメ目 ムシクイ科 メボソムシクイ属,12.5cm,,1,1,1,1,0,ムシクイ,夏鳥,2,,,,,Phylloscopus coronatus,
348,メボソムシクイ,スズメ目 ムシクイ科 メボソムシクイ属,12.5cm,,1,1,1,1,0,ムシクイ,夏鳥,2,,,,,Phylloscopus xanthodryas,
349,チョウセンメジロ,スズメ目 メジロ科,12cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Zosterops erythropleurus,
350,メグロ,スズメ目 メジロ科 メグロ属,14cm,特別天然記念物;希少野生動植物種;IUCN(VU),0,0,0,0,1,その他,留鳥,4,,,,,Apalopteron familiare,
351,メジロ,スズメ目 メジロ科 メジロ属,12cm,,1,1,1,1,1,その他,留鳥,1,,,,,Zosterops japonicus,
352,モウコアカモズ,スズメ目 モズ科,18-20cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Lanius isabellinus,
353,アカモズ,スズメ目 モズ科 モズ属,20cm,,1,1,0,1,0,その他,夏鳥,3,,,,,Lanius cristatus,
354,オオカラモズ,スズメ目 モズ科 モズ属,31cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Lanius sphenocercus,
355,オオモズ,スズメ目 モズ科 モズ属,25cm,,1,1,1,1,0,その他,冬鳥,3,,,,,Lanius excubitor,
356,セアカモズ,スズメ目 モズ科 モズ属,18cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Lanius collurio,
357,タカサゴモズ,スズメ目 モズ科 モズ属,25cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Lanius schach,
358,チゴモズ,スズメ目 モズ科 モズ属,18cm,IUCN(EN),1,1,1,1,0,その他,夏鳥,4,,,,,Lanius tigrinus,
359,モズ,スズメ目 モズ科 モズ属,20cm,,1,1,1,1,1,その他,留鳥,1,,,,,Lanius bucephalus,
360,モリツバメ,スズメ目 モリツバメ科,19cm,,0,0,0,0,0,ツバメ類,迷鳥,5,,,,,Artamus leucorynchus,
361,ズグロヤイロチョウ,スズメ目 ヤイロチョウ科,19cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Pitta sordida,
362,ヤイロチョウ,スズメ目 ヤイロチョウ科,20cm,絶滅危惧IB類(EN),0,1,1,1,0,その他,夏鳥,4,,,,,Pitta nympha,
363,イナダヨシキリ,スズメ目 ヨシキリ科,19.5cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Acrocephalus agricola,
364,セスジコヨシキリ,スズメ目 ヨシキリ科,13.5cm,,1,1,1,1,1,その他,旅鳥,4,,,,,Acrocephalus sorghophilus,
365,ハシブトオオヨシキリ,スズメ目 ヨシキリ科,19cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Acrocephalus aedon,
366,ヒメウタイムシクイ,スズメ目 ヨシキリ科,13cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Iduna caligata,
367,ヤブヨシキリ,スズメ目 ヨシキリ科,15.5cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Acrocephalus dumetorum,
368,チュウヨシキリ,スズメ目 ヨシキリ科 ヨシキリ属,18cm,,0,0,0,0,0,ムシクイ,迷鳥,5,,,,,Acrocephalus stentoreus,
369,ニシオオヨシキリ,スズメ目 ヨシキリ科 ヨシキリ属,19cm,,0,0,0,0,0,ムシクイ,迷鳥,5,,,,,Acrocephalus arundinaceus,
370,ヨーロッパヨシキリ,スズメ目 ヨシキリ科 ヨシキリ属,13cm,,0,0,0,0,0,ムシクイ,迷鳥,5,,,,,Acrocephalus scirpaceus,
371,キレンジャク,スズメ目 レンジャク科 レンジャク属,19.5cm,,1,1,1,1,0,その他,冬鳥,2,,,,,Bombycilla garrulus,
372,ヒレンジャク,スズメ目 レンジャク科 レンジャク属,18cm,IUCN(NT),1,1,1,1,1,その他,冬鳥,2,,,,,Bombycilla japonica,
373,コヨシキリ,スズメ目 ヨシキリ科,13.5cm,,1,1,1,1,0,ムシクイ,夏鳥,2,,,,,Acrocephalus bistrigiceps,
374,ウスハイイロチュウヒ,タカ目 タカ科,40-50cm,,1,1,1,1,1,猛禽,冬鳥,4,,,,,Circus macrourus,
375,オオワシ,タカ目 タカ科,85-100cm,天然記念物 絶滅危惧II類(VU),1,1,1,1,1,猛禽,冬鳥,3,,,,,Haliaeetus pelagicus,
376,カタグロトビ,タカ目 タカ科,56cm,,0,0,0,0,0,猛禽,迷鳥,5,,,,,Elanus caeruleus,
377,カタシロワシ,タカ目 タカ科,72-84cm,絶滅危惧IB類(EN),1,1,1,1,1,猛禽,冬鳥,4,,,,,Aquila heliaca,
378,カラフトワシ,タカ目 タカ科,62-74cm,絶滅危惧IA類(CR),0,0,0,0,0,猛禽,迷鳥,5,,,,,Aquila clanga,
379,ハクトウワシ,タカ目 タカ科,71-96cm,,0,0,0,0,0,猛禽,迷鳥,5,,,,,Haliaeetus leucocephalus,
380,マダラチュウヒ,タカ目 タカ科,48-56cm,絶滅危惧IB類(EN),1,1,1,1,1,猛禽,冬鳥,4,,,,,Circus melanoleucos,
381,イヌワシ,タカ目 タカ科 イヌワシ属,85cm,天然記念物;希少野生動植物種,1,1,1,1,0,猛禽,留鳥,4,,,,,Aquila chrysaetos,
382,オジロワシ,タカ目 タカ科 オジロワシ属,90cm,天然記念物;希少野生動植物種,1,1,0,0,0,猛禽,冬鳥,4,,,,,Haliaeetus albicilla,
383,カンムリワシ,タカ目 タカ科 カンムリワシ属,55cm,特別天然記念物;希少野生動植物種;IUCN(NT),0,0,0,0,1,猛禽,留鳥,4,,,,,Spilornis cheela,
384,クマタカ,タカ目 タカ科 クマタカ属,77cm,希少野生動植物種,1,1,1,1,0,猛禽,留鳥,4,,,,,Nisaetus nipalensis,
385,クロハゲワシ,タカ目 タカ科 クロハゲワシ属,105cm,IUCN(NT),1,1,1,1,1,猛禽,冬鳥,5,,,,,Aegypius monachus,
386,サシバ,タカ目 タカ科 サシバ属,49cm,IUCN(NT),0,1,1,1,1,猛禽,夏鳥,2,,,,,Butastur indicus,
387,チュウヒ,タカ目 タカ科 チュウヒ属,53cm,希少野生動植物種,1,1,1,1,0,猛禽,冬鳥,3,,,,,Circus spilonotus,
388,ハイイロチュウヒ,タカ目 タカ科 チュウヒ属,48cm,,1,1,1,1,0,猛禽,冬鳥,3,,,,,Circus cyaneus,
389,ヨーロッパチュウヒ,タカ目 タカ科 チュウヒ属,52cm,,0,0,0,0,0,猛禽,迷鳥,5,,,,,Circus aeruginosus,
390,トビ,タカ目 タカ科 トビ属,63.5cm,,1,1,1,1,1,猛禽,留鳥,1,,,,,Milvus migrans,
391,オオノスリ,タカ目 タカ科 ノスリ属,65cm,,1,1,1,1,1,猛禽,冬鳥,4,,,,,Buteo hemilasius,
392,ケアシノスリ,タカ目 タカ科 ノスリ属,56cm,,1,1,1,1,0,猛禽,冬鳥,3,,,,,Buteo lagopus,
393,ノスリ,タカ目 タカ科 ノスリ属,54cm,,1,1,1,1,1,猛禽,留鳥,1,,,,,Buteo buteo,
394,アカハラダカ,タカ目 タカ科 ハイタカ属,30cm,,1,1,1,1,1,猛禽,旅鳥,3,,,,,Accipiter soloensis,
395,オオタカ,タカ目 タカ科 ハイタカ属,53cm,希少野生動植物種,1,1,1,1,1,猛禽,留鳥,2,,,,,Accipiter gentilis,
396,ツミ,タカ目 タカ科 ハイタカ属,27cm,,1,1,1,1,1,猛禽,夏鳥,2,,,,,Accipiter gularis,
397,ハイタカ,タカ目 タカ科 ハイタカ属,35cm,希少野生動植物種,1,1,1,1,1,猛禽,留鳥,2,,,,,Accipiter nisus,
398,ハチクマ,タカ目 タカ科 ハチクマ属,59cm,,1,1,1,1,0,猛禽,夏鳥,2,,,,,Pernis ptilorhynchus,
399,ヨーロッパハチクマ,タカ目 タカ科 ハチクマ属,56cm,,0,0,0,0,0,猛禽,迷鳥,5,,,,,Pernis apivorus,
400,ヒゲワシ,タカ目 タカ科 ヒゲワシ属,110cm,IUCN(NT),0,0,0,0,0,猛禽,迷鳥,5,,,,,Gypaetus barbatus,
401,ミサゴ,タカ目 ミサゴ科 ミサゴ属,59cm,,1,1,1,1,1,猛禽,留鳥,1,,,,,Pandion haliaetus,
402,ウミオウム,チドリ目 ウミスズメ科,24-26cm,,0,0,0,0,0,海鳥,迷鳥,5,,,,,Aethia psittacula,
403,オオハシウミガラス,チドリ目 ウミスズメ科,39-43cm,,1,1,0,0,0,海鳥,冬鳥,4,,,,,Alca torda,
404,ウトウ,チドリ目 ウミスズメ科 ウトウ属,38cm,,1,1,0,0,1,海鳥,夏鳥,2,,,,,Cerorhinca monocerata,
405,ウミガラス,チドリ目 ウミスズメ科 ウミガラス属,43cm,希少野生動植物種,1,1,0,0,0,海鳥,留鳥,4,,,,,Uria aalge,
406,ハシブトウミガラス,チドリ目 ウミスズメ科 ウミガラス属,43cm,,1,1,0,0,0,海鳥,冬鳥,3,,,,,Uria lomvia,
407,ウミスズメ,チドリ目 ウミスズメ科 ウミスズメ属,26cm,,1,1,1,1,1,海鳥,冬鳥,2,,,,,Synthliboramphus antiquus,
408,カンムリウミスズメ,チドリ目 ウミスズメ科 ウミスズメ属,25cm,希少野生動植物種;IUCN(VU),0,1,1,1,1,海鳥,留鳥,4,,,,,Synthliboramphus wumizusume,
409,コウミスズメ,チドリ目 ウミスズメ科 ウミスズメ属,18cm,,1,1,0,0,0,海鳥,冬鳥,3,,,,,Aethia pusilla,
410,シラヒゲウミスズメ,チドリ目 ウミスズメ科 ウミスズメ属,20cm,,1,0,0,0,0,海鳥,夏鳥,4,,,,,Aethia pygmaea,
411,ウミバト,チドリ目 ウミスズメ科 ウミバト属,34cm,,1,1,0,0,0,海鳥,冬鳥,3,,,,,Cepphus columba,
412,エトピリカ,チドリ目 ウミスズメ科 エトピリカ属,39cm,希少野生動植物種;IUCN(VU),1,0,0,0,0,海鳥,夏鳥,4,,,,,Fratercula cirrhata,
413,エトロフウミスズメ,チドリ目 ウミスズメ科 エトロフウミスズメ属,25cm,,1,1,0,0,0,海鳥,冬鳥,3,,,,,Aethia cristatella,
414,ケイマフリ,チドリ目 ウミスズメ科 ケイマフリ属,37cm,希少野生動植物種;IUCN(VU),1,0,0,0,0,海鳥,留鳥,4,,,,,Cepphus carbo,
415,コオリウミスズメ,チドリ目 ウミスズメ科 コオリウミスズメ属,21cm,,1,1,0,0,0,海鳥,冬鳥,4,,,,,Cepphus grylle,
416,ツノメドリ,チドリ目 ウミスズメ科 ツノメドリ属,39cm,,1,1,0,0,0,海鳥,冬鳥,4,,,,,Fratercula corniculata,
417,ヒメウミスズメ,チドリ目 ウミスズメ科 ヒメウミスズメ属,16cm,,1,1,0,0,0,海鳥,冬鳥,3,,,,,Alle alle,
418,ハシナガウミスズメ,チドリ目 ウミスズメ科 マダラウミスズメ属,26cm,,1,1,1,1,1,海鳥,冬鳥,4,,,,,Brachyramphus marmoratus,
419,マダラウミスズメ,チドリ目 ウミスズメ科 マダラウミスズメ属,25cm,IUCN(EN),1,1,1,1,1,海鳥,冬鳥,4,,,,,Brachyramphus perdix,
420,アメリカズグロカモメ,チドリ目 カモメ科,32-37cm,,0,0,0,0,0,カモメ,迷鳥,5,,,,,Larus pipixcan,
421,オオズグロカモメ,チドリ目 カモメ科,61-78cm,,1,0,0,0,0,カモメ,冬鳥,4,,,,,Larus ichthyaetus,
422,キョクアジサシ,チドリ目 カモメ科,33-36cm,,0,0,0,0,0,アジサシ,迷鳥,5,,,,,Sterna paradisaea,
423,クロアジサシ,チドリ目 カモメ科,35-43cm,,0,0,0,0,1,アジサシ,夏鳥,4,,,,,Anous stolidus,
424,シロアジサシ,チドリ目 カモメ科,28-33cm,,0,0,0,0,1,アジサシ,夏鳥,4,,,,,Gygis alba,
425,セグロアジサシ,チドリ目 カモメ科,35-37cm,,0,0,0,0,1,アジサシ,夏鳥,3,,,,,Sterna fuscata,
426,ナンヨウマミジロアジサシ,チドリ目 カモメ科,30-32cm,,0,0,0,0,0,アジサシ,迷鳥,5,,,,,Sterna lunata,
427,ハイイロアジサシ,チドリ目 カモメ科,28cm,,0,0,0,0,0,アジサシ,迷鳥,5,,,,,Procelsterna cerulea,
428,ハシボソカモメ,チドリ目 カモメ科,38-44cm,,0,0,0,0,0,カモメ,迷鳥,5,,,,,Larus genei,
429,ハジロクロハラアジサシ,チドリ目 カモメ科,22-24cm,,1,1,1,1,1,アジサシ,旅鳥,4,,,,,Chlidonias leucopterus,
430,ヒメカモメ,チドリ目 カモメ科,28-32cm,,0,0,0,0,0,カモメ,迷鳥,5,,,,,Larus minutus,
431,ベンガルアジサシ,チドリ目 カモメ科,33-42cm,,0,0,0,0,0,アジサシ,迷鳥,5,,,,,Sterna bengalensis,
432,ゴビズキンカモメ,チドリ目 カモメ科,30cm,,0,0,0,0,0,カモメ,迷鳥,5,,,,,Larus relictus,
433,アジサシ,チドリ目 カモメ科 アジサシ属,35cm,,1,1,1,1,1,アジサシ,夏鳥,2,,,,,Sterna hirundo,
434,エリグロアジサシ,チドリ目 カモメ科 アジサシ属,33cm,,0,0,0,0,1,アジサシ,夏鳥,3,,,,,Sterna sumatrana,
435,コアジサシ,チドリ目 カモメ科 アジサシ属,24cm,,1,1,1,1,1,アジサシ,夏鳥,2,,,,,Sterna albifrons,
436,ベニアジサシ,チドリ目 カモメ科 アジサシ属,36cm,IUCN(NT),0,1,1,1,1,アジサシ,夏鳥,4,,,,,Sterna dougallii,
437,オオアジサシ,チドリ目 カモメ科 オオアジサシ属,48cm,,0,0,0,1,1,アジサシ,夏鳥,3,,,,,Sterna bergii,
438,オニアジサシ,チドリ目 カモメ科 オニアジサシ属,53cm,,1,1,1,1,1,アジサシ,旅鳥,4,,,,,Sterna caspia,
439,アイスランドカモメ,チドリ目 カモメ科 カモメ属,60cm,,1,1,0,0,0,カモメ,冬鳥,3,,,,,Larus glaucoides,
